Title,Price,Type,Description
Toyota Avalon 2014 Silver,"_ 15,000,000",Local Used,"Very neat car, serious buyers only! Buy & be happy"
Mercedes-Benz GLK-Class 350 4MATIC 2013 White,"_ 15,200,000",Local Used,"The car is very clean, First body and first registration with good A/C Engine and gear Everything is..."
Lexus RX 350 F Sport AWD 2019 Blue,"_ 60,000,000",Foreign Used,"Extremely super clean lexus rx 350 2019 model ,blue colour,accidents free, first body, good and neat..."
Hyundai Elantra 2017 Blue,"_ 14,200,000",Foreign Used,Total accident free sport edition good and sound engine with good gear chilling ac drive well...
Toyota RAV4 SE AWD (2.5L 4cyl 6A) 2017,"_ 27,500,000",Foreign Used,"Toyota RAV4 SE 2017 model curfew colour and black interior full options, accident free and full duty..."
Toyota Camry 2008 Red,"_ 8,500,000",Foreign Used,Perfect condition. Accidental free. Engine gear and Ac works fine. Full duty paid
Toyota Highlander 2014 Black,"_ 29,000,000",Foreign Used,"Foreign use Toyota Highlander,
2014model,
Total accident free,
Absolute buy and drive."
Toyota RAV4 Limited V6 4x4 2008 Black,"_ 8,550,000",Foreign Used,"First Body,Newly Arrived,Bluetooth Music,Nothing To Fix,No Mechanical issues,Accident Free,Nothing..."
Toyota Highlander 2004 Blue,"_ 7,500,000",Foreign Used,"Toyota Highlander Limited 2004 model. 
Air conditioning. 
Accident free. 
Alloy wheels. 
CD Player...."
Toyota Avalon 2014 White,"_ 20,000,000",Foreign Used,"Clean toks 
Leather seats 
Air conditioning 
Pedal brakes
Spacious interior 
Clean interior 
Sound..."
Honda Accord 2005 Black,"_ 2,550,000",Local Used,Clean Honda Accord with everything working perfectly including Ac
Toyota Venza 2014 White,"_ 17,500,000",Local Used,The car is sharp as seen Belguim standard buy and drive nothing to fix super mint with everything...
Mercedes-Benz C300 2016 Black,"_ 25,000,000",Foreign Used,"As clean as Brand New ,,C300 very neat"
Honda Accord 2008 Black,"_ 4,200,000",Local Used,Clean 08 Honda accord
Toyota Corolla 2017 Blue,"_ 16,200,000",Foreign Used,Extremely clean and Super sharp Foreign used 2017 Model Toyota Corolla LE Automatic transmission V4...
Lexus RX 350 2012 Black,"_ 21,500,000",Foreign Used,"Super cute Lexus RX350 Model;2012
Engine very silent
Gear very smooth transmission"
Mercedes-Benz S-Class 2014 White,"_ 38,500,000",Foreign Used,Clean foreign used S550 Mercedes-Benz
Land Rover Range Rover Vogue 2019 White,"_ 90,000,000",Foreign Used,"Clean Foreign Use Range Rover Vogue 2019 available for sale at a slightly negotiable price, this..."
Mercedes-Benz C240 2004 Silver,"_ 4,250,000",Local Used,"A clean Benz with Untouched engine, first body, smooth transmission and working AC. Though AC not..."
Honda Crosstour 2.4 FWD 2011 White,"_ 9,750,000",Local Used,"Honda Crosstour 2011 model just 2month used this car still smelling toks,don’t waste your money..."
Lexus IS 250 C Automatic 2010 Gray,"_ 17,000,000",Foreign Used,"2010 Lexus IS250 C Convertible 
Foreign Used 
Accident free 
Complete duty paid
Luxury at its finest"
Chevrolet Trax 2016 White,"_ 6,950,000",Foreign Used,"Accident free, custom duties fully paid Chevrolet TRAX LT 2016 model for urgent sale"
Mercedes-Benz E320 2003 Black,"_ 3,885,000",Local Used,
Honda Accord 2017 Blue,"_ 18,500,000",Foreign Used,"017 Honda Accord Foreign Used.
Lagos Cleared.
Allow Wheel.
Clean Leather Seat Interior.
Untempered..."
Lexus RX 330 AWD 2006 White,"_ 12,500,000",Foreign Used,"Lexus rx330 2006 model with factory AC working perfectly, factory dashboard, navigation..."
Honda Accord 2.0 i-VTEC Automatic 2009 Silver,"_ 5,000,000",Local Used,"Belgium standard , 4cyl 2009 Honda accord ... noisless , untampered everything..."
Mercedes-Benz C300 2010 Blue,"_ 10,500,000",Foreign Used,Benz C300 4Matic in a very good condition.
Peugeot 206 2004 Silver,"_ 2,100,000",Local Used,
Mercedes-Benz GLC-Class 2017 Gray,"_ 37,250,000",Foreign Used,"Accident free. 
Full option with Panoramic roof.
It’s in excellent condition.
Everything works..."
Hyundai Accent SE 2020 Black,"_ 10,300,000",Local Used,Hyundai accent 2020 neatly Nigerian used
Toyota Camry 2010 White,"_ 7,650,000",Local Used,Extremely clean and everything working perfectly
Lexus ES 350 FWD 2013 Red,"_ 19,500,000",Foreign Used,Lexus ES350 2013model full option with Bluetooth mouse reverse camera features DVD player lagos...
Toyota Camry XLE FWD (2.5L 4cyl 8AM) 2018 Red,"_ 30,000,000",Foreign Used,"The cleanest foreign used 2018 Toyota Camry XLE with panoramic roof, thumbstart ignition, 4plugs..."
Toyota Highlander 3.5L 2WD 2013 Black,"_ 14,000,000",Foreign Used,"Toyota highland 2012 foreign used
Engine  
Gear  
Ac  
Everything is working perfectly"
Toyota Camry 2015 Black,"_ 19,200,000",Foreign Used,"Clean title, Foreign USED 2015 T-Camry SE ... sparkling neat interior and nice shaped Body..."
Lexus RX 350 2010 Blue,"_ 21,000,000",Foreign Used,"Leather seats 
Nav System 
Thumb start 
Reverse cam 
Alloy wheels 
Steering control 
Ac chilling 
V6..."
Toyota Camry 2005 Black,"_ 6,600,000",Foreign Used,Camry big daddy with 4 plugs engine and fabric seat. Foreign used
Toyota Camry 2009 Silver,"_ 7,050,000",Local Used,"Fairly used Toyota Camry 2009. It's sleek, reliable, and the best part is, it's available at a..."
Toyota Highlander Limited 2010 Silver,"_ 12,500,000",Foreign Used,"Navigation System And Reverse Camera, Lagos Cleared And Duty Fully Paid, Alloy Wheels, First Body,..."
Land Rover Range Rover Velar P380 HSE R-Dynamic 4x4 2019 Gray,"_ 72,000,000",Foreign Used,Pristine full option Velar P380 HSE R dynamic (v6) with customs duty paid.-Available for sale
Toyota Venza V6 2009 White,"_ 12,500,000",Local Used,"Neatly Used Toyota Venza 2009 Model
Buy and drive 
V6 Engine 
Thumbstart
Android screen 
Reverse..."
Honda Civic Sport 2022 Black,"_ 33,000,000",Foreign Used,Super clean foreign used 2022 Honda Civic Sport. Going for just 33m
Mercedes-Benz C300 2010 Gray,"_ 8,700,000",Local Used,2009 model on belt toks standard. Neatly used and absolutely nothing to fix
Lexus RX 2005 Silver,"_ 8,300,000",Local Used,Very sharp Rx 330 clean in and out ac chilling drives very smooth sound engine
Hyundai Elantra 2015 Silver,"_ 15,000,000",Foreign Used,Extremely clean foreign used 2015 Hyundai Elantra with untempered engine and gear and original...
Mercedes-Benz GLE-Class 2017 Blue,"_ 43,000,000",Foreign Used,"Premium edition. 
panoramic roof. 
keyless entry. 
360° camera. 
running board lights.
premium..."
Lexus ES 350 2008 Off white,"_ 8,250,000",Local Used,This car is extremely first body with first owner engine gear and ac all perfect with absolutely...
Nissan Xterra 2002 Green,"_ 2,580,000",Local Used,This car is first body engine and gearbox is tokunbo Ac need attention after that nothing to fix...
Lexus RX 330 2006 Gold,"_ 8,000,000",Local Used,"Clean Pre-owned 2006 Lexus RX330 with custom duty, buy and drive. Nothing to fix. Serious Buyer Only"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 White,"_ 92,000,000",Foreign Used,2020 GLE350 Ready for Inspection
Land Rover Range Rover Sport 2015 Blue,"_ 32,000,000",Foreign Used,Extremely clean in and out. Full option
Toyota RAV4 2008 Red,"_ 9,500,000",Foreign Used,"Foreign used 2008 RAV4 with all round Sparkling cleanness, 3 row seats for family comfort, all..."
Lexus RX 330 4WD 2005 Black,"_ 7,300,000",Local Used,"Clean as toks
Good engine"
Lexus GX 470 Sport Utility 2006 Red,"_ 4,900,000",Local Used,Lexus Gx 350 2007 model first body paint AC need attention V8 Engine untouched  gear selection...
Land Rover Discovery Sport HSE 2016 Gray,"_ 17,500,000",Local Used,"Very clean and sound all round with absolutely nothing to give attention to.
The document are intact..."
Honda Accord 2014 Black,"_ 8,500,000",Local Used,"Clean painted on first body 
Clean and smooth drive"
Mercedes-Benz E350 2014 White,"_ 18,000,000",Foreign Used,Perfect condition. Beautiful interior. Accident free. Everything is perfectly working fine. Full...
Ford Explorer 2014 Black,"_ 12,000,000",Foreign Used,Nice ford explorer for sale with leather seat
BMW 528i 2011 White,"_ 9,850,000",Local Used,This ride is as clean as it and everything works properly. It’s a buy and drive car with complete...
Toyota Camry 2013 Gray,"_ 13,500,000",Foreign Used,Toyota Camry 2013 Gary color
Toyota Camry 2008 Black,"_ 9,500,000",Foreign Used,Toyota camry sport edition SE 2008model Black colour lagos tincan cleared e.t.c
Hyundai Sonata 2012 Black,"_ 7,000,000",Local Used,"Fairly used
Super clean first body 
Super clean leather interior 
Strong engine and gears 
Freezing..."
Toyota Sienna 2006 Gray,"_ 5,300,000",Local Used,Perfectly working with no condition at all.
Toyota Highlander Limited V6 4x4 2004 White,"_ 5,870,000",Local Used,Meet clean and sharp Nigeria used first body not registered with perfect automatic gearbox...
Acura MDX 2006 Black,"_ 5,550,000",Foreign Used,"Accident Free,Leather Seat,Newly Arrived,Air Conditioning System,No Mechanical issues,Everything..."
Toyota Picnic 2002,"_ 2,200,000",Local Used,A good car with sound engine and gearbox. Hot deal for serious buyer.
Toyota Tacoma 2020 White,"_ 37,650,000",Foreign Used,"Clean toyota tacoma 2020, fabric seat, air conditioner working perfectly, reversed camera, keyless..."
Lexus RX 350 2013 White,"_ 24,300,000",Foreign Used,Lexus Rx350 2013 model navigation system rev camera
Toyota Highlander 2009 Black,"_ 16,000,000",Foreign Used,Toyota highlander leather seats full option limited edition accident free duty paid very clean CD...
Lexus ES 350 2008 Silver,"_ 12,000,000",Foreign Used,Very clean and sharp nothing to fix fully loaded with all the opinions and cameras
Toyota Land Cruiser 4.0 V6 GX-R 2014 Black,"_ 46,000,000",Local Used,Sharp clean registered Toyota Land Cruiser 2014 upgraded to 2022 selling for located at Ogba with me
Lexus GX 2015 Black,"_ 45,100,000",Foreign Used,"Super Clean Foreign Used 2015 Lexus GX 460 Upgraded To 2020
Black On Cream 
Full Option"
Toyota RAV4 LE AWD 2019 Gray,"_ 35,000,000",Foreign Used,"Foreign used accident free toyota rav4 le batch _2019_thumb start, navigation screen, revised cam,..."
Mercedes-Benz GLC-Class 2017 Black,"_ 41,800,000",Foreign Used,"Extremely clean title ,Foreing USED MB GLC300 2017 model,Sparkling neat in and out,Perfectly..."
Toyota Corolla 1.8 LE 2008 Beige,"_ 5,500,000",Local Used,"Buy and drive corolla. Well maintained and in good condition.
You can reach me also on whatsapp on..."
Toyota Venza V6 AWD 2011 Green,"_ 13,500,000",Local Used,"Neatly used 
Buy and drive
Untouched engine and gear
Swap deal available"
Toyota Land Cruiser Prado 2.7 2020 Black,"_ 46,000,880",Foreign Used,Extremely sharp wuth an authéntiç duty
Mercedes-Benz GLC-Class 2016 Red,"_ 37,000,000",Foreign Used,"Foreign used glc300
Buy and drive 
Sound engine and chilling ac 
Nothing to fix 
You can call me..."
Mercedes-Benz GLC-Class 2016 Blue,"_ 39,850,000",Foreign Used,Free accident GLC buy and drive with original duty and nothing to fixed
Toyota Sienna 2000 Brown,"_ 3,120,000",Local Used,
Mercedes-Benz GL-Class GL 450 2011 Gray,"_ 16,550,000",Foreign Used,"2011 GL450 with full option, Thumb start, panoramic sunroof, sensors, navigation, leather seat,..."
Ford Edge 2015 White,"_ 18,000,000",Foreign Used,"2015 Tokunbo Ford Edge 
AC, Gear and Engine working perfectly 
Custom duty paid"
BMW X5 2010 White,"_ 7,000,000",Local Used,"Xtremely Clean Machine! 
Reg. But Not Used
2010 Up to 2015 BMW X5 Luxury SUV
Full Option With thumb..."
Mercedes-Benz E300 2018 Black,"_ 37,500,000",Foreign Used,"2018 Mercedes Benz E300 toks in abuja, original duty fully paid, serious buyer only please.
#Jab"
Mercedes-Benz GL-Class GL 450 2012 Silver,"_ 8,500,000",Local Used,"Vety clean mercedes GL450 buy and drive engine and gear is standard no issuses, serious buyer should..."
Toyota Corolla 2016 Red,"_ 11,500,000",Local Used,Complete first body pan untampered engine and gear buy and drive
Toyota Camry 2019 Black,"_ 31,500,000",Foreign Used,"Fresh arrival 2019 Camry, Nice color, No fault, Dm for more info to buy"
New Toyota Land Cruiser Prado 2023 Black,"_ 139,000,000",Brand New,Brand new Prado 2023 V6 with original custom duty
Mazda CX-9 Sport 2011 White,"_ 7,400,000",Local Used,2011 Mazda Cx92011 for sale toks standard nothing to fix going for 7.4
Mercedes-Benz GLK-Class 350 4MATIC 2013 Black,"_ 18,800,000",Foreign Used,"Lagos clearing, factory leather seats, navigation system, reverse camera, good engine, first body,..."
Honda CR-V 2013 Black,"_ 10,000,000",Local Used,Honda crv 2013 model now available
Mercedes-Benz GL-Class GL 450 2012 Gray,"_ 12,000,000",Foreign Used,"Gl 450 benz 2012 Mercedes-Benz 
accident free and clean title 
12m"
Hyundai Elantra 2012 Silver,"_ 12,000,000",Foreign Used,"Just arrived hyundai elantra 2012 model, direct tokunbo, the car you will love to drive, call..."
Volvo XC90 2008 White,"_ 5,775,000",Local Used,
Toyota Highlander 2005 Gold,"_ 5,500,000",Local Used,"Very clean Toyota Highlander 2005 for sale. The car is first body and grade A vehicle, 3 seater and..."
Nissan Rogue SL 4WD 2008 Brown,"_ 3,999,999",Local Used,"Nissan rogue 2008 model , first body , engine and gear very sharp , no issues, AC chilling perfect ,..."
Toyota Corolla 2012 Red,"_ 8,600,000",Local Used,"Excellent condition
You've got nothing to fix
Engine and gearbox is % percent 
Car is super perfect"
Honda Accord Crosstour 2013 Blue,"_ 14,500,000",Foreign Used,Selling a Honda crosstour 2013 with full options and good milage and it runs good for the new owner...
Toyota RAV4 LE AWD (2.5L 4cyl 6A) 2016 Orange,"_ 21,000,000",Foreign Used,Foreign Used 2016/17 Toyota Rav4 With Original Custom Duty
Toyota Highlander Sport 2009 Red,"_ 10,850,000",Local Used,"A year registered Toyota highlander 2009 model with navigation system, reverse sound engine and..."
Hyundai Accent 2010 Gold,"_ 2,205,000",Local Used,
Toyota Sienna 2015 Gray,"_ 17,200,000",Foreign Used,Accident free new duty paid everything is working perfect full options
Lexus RX 330 2005 Silver,"_ 12,000,000",Foreign Used,"Foreign used, Lexus Rx330,
2006 Model, Custom Full Duty,
Accident Free,
Faultless,
Full..."
Toyota Highlander Hybrid 2006 Blue,"_ 7,000,000",Foreign Used,"Super Clean Foreign used 2006 Toyota Highlander Hybrid, 2 Rows, zero faults. Buy and drive."
Toyota Camry 2014 White,"_ 14,500,000",Foreign Used,"*awoof 2024 august entry foreign used, toks, crispy and sparkling clean 2014 toyota camry sport..."
Toyota Corolla 2017 White,"_ 15,500,000",Foreign Used,"Toyota Corolla LE 2017 , neat and clean . Buy and drive ."
Lexus RX 350 2010 Gray,"_ 20,000,000",Foreign Used,"2010 lexus Rx350 
Gray 
Accident free 
Tin clear 
Full duty paid."
Toyota Corolla LE 2020 Silver,"_ 23,000,000",Foreign Used,2020 Toyota Corolla silver color now available LE
Toyota Camry 2012 Black,"_ 14,000,000",Foreign Used,"Foreign used , super clean , first body , Lagos clear , duty fully paid , JUNE ENTRY , every..."
Mercedes-Benz GL-Class GL 450 2007 Red,"_ 11,250,000",Loan,
Toyota Sienna LE 2002 Gray,"_ 6,600,000",Foreign Used,"This is 2002 model sienna, grey color, 
Automatic transmission 
With fabric seats,
Accident..."
Toyota Land Cruiser 3.5 Petrol 4WD 2022 White,"_ 115,000,000",Foreign Used,2022 Toyota land cruiser accident free full option keyless very clean inside and outside the AC is...
Lexus RX 350 2017 Brown,"_ 60,000,000",Foreign Used,2017 brown Rx 350 panoramic roof 360 camera  foreign used car with fully duty paid tin can cleared...
Mitsubishi Spacestar 1999 Silver,"_ 4,900,000",Foreign Used,"Clean, foreign used,"
Lexus ES 350 2008 Gray,"_ 6,800,000",Local Used,"Grey es 350
Buy and enjoy 
Everything is working perfectly 
Body is sharp 
Agent settlement 100k"
Mercedes-Benz GLE-Class 2016 Black,"_ 69,500,000",Foreign Used,"Mercedes benz
Gle450 2016
Accident free
full duty paid 
Buy and Enjoy."
Toyota Corolla 2010 Gray,"_ 7,200,000",Local Used,Neatly used... firstowner... firstregistration .engine gear and ac is working perfectly
Kia Morning 2011 Brown,"_ 6,850,000",Foreign Used,"Direct tokunbo, no accident, tincan clearing, good car, biy and drive"
Mercedes-Benz C450 2017 Black,"_ 32,700,000",Local Used,2017 extremely neat c450 with recent duty collision assist!!blind spot!! reverse camera!!powerboot...
Toyota Sienna 2007 Green,"_ 9,750,000",Foreign Used,"Super sharp foreign used toyota Sienna 2007 model, everything is intact call for more information..."
Mercedes-Benz M Class 2013 Blue,"_ 26,500,000",Foreign Used,"100% perfect and pristine working condition .
It has a panoramic roof, thumb start, and many more..."
Toyota Highlander XLE AWD 2023 Silver,"_ 75,000,000",Foreign Used,Newly imported 2023 Toyota Highlander XLE Silver on cream interior
New Mercedes-Benz G-Class 2023 Black,"_ 530,000,000",Brand New,"It is a brand new car , g63 AMG."
Toyota 4-Runner Limited 4WD 2012 Black,"_ 24,850,000",Local Used,Sharp Nigerian used Toyota 4 runner 2012 model everything working perfectly buy and drive nothing to...
Mini Cooper 2014 White,"_ 8,000,000",Local Used,Clean Mini cooper up for sale for the fastest finger.No long thing on this one.Interested serious...
Toyota Camry 2013 Red,"_ 15,500,000",Foreign Used,"Foreign Toyota camry XLE 2014. Accidental Free, super Engine, thumb Start, Navigation Player,..."
Toyota Camry 2004 Red,"_ 6,000,000",Foreign Used,"Buy and drive, foreign used, fabric interior , central lock . first Body ."
Toyota Camry 2008 Red,"_ 9,400,000",Foreign Used,Toyota Camry sport with padded and super clean and sharp nothing to fix just buy and drive
Lexus RX 350 AWD 2014 Gray,"_ 23,500,000",Foreign Used,"2014 Lexus ES 350 full option with mouse 
Foreign used
BSM, parking sensors, power boot
2023..."
Toyota Camry 2013 Red,"_ 13,000,000",Foreign Used,Red 2013 toyota camry le foreign used car with fully duty paid tin can cleared buy and drive nothing...
Mercedes-Benz M Class ML 350 4Matic 2012 Black,"_ 22,000,000",Local Used,Mercedes Benz 2012 model good condition tested okay engine and gear perfect working Reverse camera...
Mercedes-Benz C300 2016 Gray,"_ 26,000,000",Foreign Used,"Very Neat Foreign Used 2016 Mercedes-Benz C300
Full option 
Buy and enjoy"
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 Black,"_ 27,500,000",Foreign Used,"Foreign Used 2018
Original duty 
Buy and drive 
Nothing to fix 
Everything Intact 
Serious buyer..."
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Brown,"_ 48,000,000",Foreign Used,"Newly arrived Mercedes benz GLE 350 accident free, full option, technology package with factory..."
Toyota Corolla LE 2007 Blue,"_ 4,500,000",Local Used,"Super clean 2007 registered Toyota Corolla neatly used with perfect working engine, smooth..."
Toyota HiAce 2019 White,"_ 67,000,000",Foreign Used,"A super luxurious foreign used Toyota Hiace 2019 model.100% accident free, 2TR Engine, manual..."
Toyota Corolla 2012 Black,"_ 8,500,000",Local Used,"Firstbody catalyst everything working super perfectly fine, engine gear untouched"
Toyota Camry 2008 Silver,"_ 9,500,000",Foreign Used,"Very clean Toyota Camry 2008 model Silver color 
Accident free
Good and neat interior
Lagos..."
Toyota Highlander 2015 White,"_ 37,000,000",Foreign Used,Perfectly neat Foreign Used Toyota Highlander 2019 upgraded from 2015 Platinum with Panoramic roof...
Toyota Matrix 2004 Red,"_ 4,500,000",Local Used,"A registered Toyota Matrix 2004 with corolla engine, very sound engine and gear,ac chilling first..."
Lexus RX 350 2022 White,"_ 78,000,000",Foreign Used,Lexus RX 350 2022 model white colour accident-free first body full option top start full Duty pay...
Honda Accord EX-L 1.5T 2022 Black,"_ 29,800,000",Foreign Used,Extremely clean 2022 Honda Accord EXL available for purchase and immediate delivery in a perfect...
Toyota Corolla 2005 Silver,"_ 5,000,000",Local Used,"Neatly used Toyota Corolla, car is on a very good condition and working perfectly
Buy and drive"
Toyota Corolla 2016 Black,"_ 15,500,000",Foreign Used,"Very clean in and out
Clean beige fabric interior
Sound engine and gear
Back up camera and..."
Toyota Corolla 2010 Silver,"_ 10,850,000",Foreign Used,Foreign Used 2010 Toyota Corolla LE Silver Colour First Body Free Accident Excellent Drive Cool...
Toyota RAV4 LE 4dr SUV (2.5L 4cyl 6A) 2015 Black,"_ 15,500,000",Local Used,"Super clean in an out ,used by a lady and it’s in a perfect condition ,Tokunbo standard ..."
Toyota Corolla 2014 Red,"_ 12,550,000",Local Used,"Few months registered, clean as a whistle in and out. engine, gear and ac in perfect condition."
Land Rover Range Rover Sport HSE 4x4 (4.4L 8cyl 6A) 2006 White,"_ 10,000,000",Local Used,2006 less than 2years Used Range Rover Sport ... in perfect condition nothing to fix...
Toyota Sienna SE FWD 8-Passenger 2013 Red,"_ 12,300,000",Foreign Used,Don’t buy a car with hidden faults because it’s cheap. It belongs to me directly so you will be...
Mercedes-Benz C300 2011 Black,"_ 8,800,000",Local Used,"Super sound untouch engine and perfect gearbox, chilling ac, smooth drive, buy and fly condition,..."
Toyota Corolla Luxel 1.8VVT-i 2002 Silver,"_ 6,550,000",Foreign Used,Toyota Corolla wagon 2002 model alloy wheel 4plug engine capacity accident free tincan cleared lagos
Toyota Sienna 2011 Blue,"_ 11,800,000",Foreign Used,Clean foreign used toyota sienna. accident free.
Toyota Sequoia 2012 Gray,"_ 19,000,000",Foreign Used,"Full options, buy and drive"
Lexus GS 350 4WD 2009 Black,"_ 7,800,000",Local Used,"Lexus gs350 2009 model, belgium grade, buy and drive. davi. igwurita."
BMW X6 xDrive40i 2021 Black,"_ 120,000,000",Foreign Used,"Bmw x6 premium spec, foreign used"
Nissan Altima 2010 Black,"_ 6,250,000",Foreign Used,"Foreign used car with lagos clearing, alloy wheels, leather seats,all components intact,buy and..."
Volkswagen Jetta 2008 Gray,"_ 2,850,000",Local Used,Neatly used Volkswagen jetta fsi with untampered engine and gear ac cooling
Toyota Camry 2011 Black,"_ 10,900,000",Foreign Used,"Toyota Camry XLE, 2011 model. follow com factory navigation, leather seats, Ton start, keyless. Is..."
Toyota Sienna 2004 Gold,"_ 10,750,000",Foreign Used,Tokunbo sieena xle 2004 model small v6 engine engine and gear sound ac chilling well...
Mercedes-Benz C300 2016 Black,"_ 21,500,000",Foreign Used,"This C300 is fullest option, come with panoramic roof , thumb-start, panoramic roof, LED , factory..."
Toyota Avalon XLS 2006 White,"_ 4,650,000",Local Used,"Neatly used
Well maintained 
Pocket friendly"
Toyota Sienna XLE 2005 Blue,"_ 8,300,000",Foreign Used,"Foreign used Toyota Sienna XLE 2005 model.
Accident free 
Lagos cleared"
Toyota Corolla 2006 Gold,"_ 7,500,000",Foreign Used,"Very clean Toyota Corolla 2006 model Gold color 
Accident free
Good and neat interior
Lagos..."
Mercedes-Benz CLA-Class AMG CLA 45 4MATIC Sedan 2016 White,"_ 35,500,000",Foreign Used,Foreign used 2016 mercedes benz cla45 available with original custom duty
Honda Accord Crosstour EX 2010 Red,"_ 6,900,000",Local Used,"Super clean and sharp registered Honda Crosstour 2010 model, with perfect condition.
Super clean..."
Honda CR-V Automatic 2005 Blue,"_ 3,750,000",Local Used,"Clean interior and Exterior, Umtampered Engine, Ac chilling, Gear selection perfect."
Toyota 4-Runner 2019 Red,"_ 48,500,000",Foreign Used,Toyota 4Runner 2019 Red color super clean black leather interior Am fm dvd player factory fitted...
Honda Accord 2013 Red,"_ 12,500,000",Foreign Used,Direct tokumbo honda accord
Toyota Camry XSE V6 FWD 2020 Red,"_ 38,500,000",Foreign Used,This car is an amazing car
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,"_ 38,000,000",Foreign Used,2018 Highlander just arrived and everything working perfectly
Mercedes-Benz C300 2019 Gray,"_ 39,500,000",Foreign Used,"2019 Benz C300 4matic 
Duty Paid
Recent Entry 
Buy and Drive"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Black,"_ 32,800,000",Foreign Used,"Super Clean Foreign Used Toyota Highlander, 2018 model, Duty fully paid, XLE AWD Edition, With Sun..."
Toyota RAV4 2008 Black,"_ 7,000,000",Local Used,"2008 Toyota RAV4, no fault, absolutely buy and drive"
Toyota Tacoma TRD Off Road 2021 White,"_ 50,000,000",Foreign Used,Foreign used 2021 Toyota Tacoma with duty.
New Toyota Hilux 2024 Black,"_ 84,500,000",Brand New,"Adventure 
V6 engine 
Automatic drive 
Duty paid"
Toyota Camry 2008 Black,"_ 6,400,000",Local Used,"Extremely clean Toyota Camry 08 
Well used super sound engine 
Gear selection smoothly ok 
Super..."
Volkswagen Beetle 2.0T SE Hatchback 2018 White,"_ 24,500,000",Foreign Used,"Accident free.  August 2023 Entry.
It’s in excellent condition.
Please come for inspection and..."
Toyota Corolla Sedan Automatic 2003 Gray,"_ 4,680,000",Local Used,
Toyota Corolla S 2007 Black,"_ 8,500,000",Foreign Used,2007 black toyota corolla sport foreign used car with fully duty paid tin can cleared buy and drive...
Lexus RX 2011 White,"_ 19,000,000",Foreign Used,"Accident free 
Unpainted 
In perfect condition 
Buy and drive 
Lucky buyer only"
Mercedes-Benz C250 2012 Red,"_ 15,500,000",Foreign Used,"Newly arrival of Mercedes Benz C250, 2013 model RED color,Milk interior,
Automatic transmission..."
Toyota Camry 2008 Gray,"_ 8,700,000",Foreign Used,Camry xle model 2008 with basic of accident free very neat and clean and full option and first body...
Toyota Sienna LE 8 Passenger 2012 Gray,"_ 12,950,000",Foreign Used,"012 Toyota sienna,First body pan, No single Naija paint,Brand new tyres,double power door,mid..."
Lexus RX 350 2018 Gold,"_ 39,000,000",Foreign Used,"Super Clean Foreign Used Lexus RX 350, 2018 model, Duty fully paid, With panoramic roof, Thumbstart,..."
Lexus RX 350 2007 Gold,"_ 8,100,000",Local Used,"Very clean first body lexus, no long story in buy and drive condition, serious buyers only going for..."
Lexus RX 2022 White,"_ 79,000,000",Foreign Used,Direct Toks Lexus RX450H 2022 model... Duties fully paid... HUD//wireless charger//360 //pano
Toyota Corolla 2017 Red,"_ 17,500,000",Foreign Used,"Foreign used Toyota Corolla LE 2017 model... 
Accident free car 
Red color on Cream fabric..."
Lexus RX 2012 Gray,"_ 23,000,000",Foreign Used,"2012 Lexus Rx350 superb engine and gear, 
Ac cooling effectively, 
Clean black leather interior and..."
Toyota Matrix 2006 Silver,"_ 4,600,000",Local Used,"This 2006 neatly used Toyota Matrix is available for sale.Engine is sound, Gear selects properly and..."
Jaguar S-Type 2008 Blue,"_ 9,800,000",Foreign Used,Jaguar S-type 4.2 L Engine 2008 model
Honda Ridgeline 2007 Silver,"_ 5,500,000",Foreign Used,"Very clean honda few mouth used, no register, engine and gear is standard, a c is colling well, no..."
Toyota Camry 2008 Silver,"_ 5,500,000",Local Used,Car very sound n neat buy n drive
Toyota Venza V6 AWD 2010 Off white,"_ 19,000,000",Foreign Used,Duty fully paid and working perfectly fine with no fault and. No dent and no rust
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2007 Gray,"_ 10,500,000",Foreign Used,"Full option
Reverse camera
Cd and DVD player
Sensors
Fabric seats
Tin can cleared.
Buy and drive"
Lexus GX 460 2010 Black,"_ 29,000,000",Local Used,"Lezus gx 460, few months registered, upgraded to 2023"
Toyota Corolla 2013 White,"_ 12,000,000",Foreign Used,Toyota corolla 2013 sport edition
Toyota Camry 2016 Black,"_ 19,500,000",Foreign Used,"Newly arrival of Toyota Camry XSE 2016 model, black on black interior,
Automatic transmission..."
Lexus RX 350 2015 Gold,"_ 26,000,000",Foreign Used,2015 Gold Rx 350 foreign used car with fully duty paid tin can cleared buy and drive nothing to fix...
Toyota Tundra 2020 Black,"_ 25,000,000",Local Used,The is sweet truck 2012 updated to 2020 just few months used less dan a year in great and perfect...
Toyota Highlander 2016 Burgundy,"_ 24,999,999",Local Used,Extremely clean few months used 2016 Toyota Highlander
Toyota RAV4 1.8 2004 Black,"_ 3,550,000",Foreign Used,Accident free unpainted Toyota Rav4 with good engine and transmission working perfectly car needs...
