Title,Price,Type,Description
Honda Accord 2007 Black,"_ 3,500,000",Local Used,"Few months DC Honda accord,first body pangolo,car in good condition buy and drive"
Toyota Camry 2010 Red,"_ 6,700,000",Local Used,Toyota Camry SE sport Red  the car is in perfect condition engine 100% Ac working perfectly fine...
Mazda CX-7 2007 Red,"_ 4,250,000",Local Used,First owner / neat fabric interior / Air-conditioning / 4 four cylinder engine / graded tyres and...
Toyota Camry 2006 Black,"_ 3,800,000",Local Used,"Toyota Camry 2005model , buy and drive ,car in good use ."
GMC Savana 2007 White,"_ 12,000,000",Foreign Used,"Fuel engine, Everything works perfectly, great engine, power steering and good entertainment"
Toyota Highlander Limited 2009 Silver,"_ 12,700,000",Foreign Used,Toyota Highlander silver color 2009 model
Lexus RX 330 2005 Blue,"_ 7,500,000",Local Used,Extremely clean Lexus Rx330 Fulloption Registered 2006 model perfect condition nothing to fix custom...
Mercedes-Benz GLE-Class GLE 350 2016 Black,"_ 43,000,000",Foreign Used,Extremely clean 2016 Mercedes Benz GLE350 available for purchase in a perfect condition
BMW 7 Series 2016 White,"_ 52,950,000",Foreign Used,". 
toks. bmw 750i 2016 model
fullest option 
 *price: 52.950m only 
 *location* : abuja"
Toyota Corolla 2010 Gray,"_ 8,500,000",Local Used,"Very sound, engine ang gear __"
Toyota Camry 2014 Red,"_ 10,000,000",Local Used,"6 months Used Belgium Standard Camry 4 plugs 
2014 on belt 
First User from toks 
Keyless 
Baked on..."
Citroen DS Familiale 1965 Silver,"_ 9,750,000",Local Used,"Cetroin ds
Impala
Neat interior
Sound engine"
Toyota Corolla S 2007 Blue,"_ 4,600,000",Local Used,"Belgium standard
2007 on belt
Nothing to fix
AC chilling very well
Gear untempered
Engine untempered"
Toyota Camry 2010 Blue,"_ 9,000,000",Foreign Used,"First grade tokumbo Toyota Camry 2010 model, 4 cylinder engine, everything is intact. Available for..."
Toyota Avalon 2013 Gray,"_ 22,500,000",Foreign Used,"First Body , Accidental free, Limited edition, Gear and Engine working perfectly. Vehicle in a Buy..."
Toyota Highlander 2015 Black,"_ 29,000,000",Foreign Used,Super clean Toyota Highlander XLE 2015 model keyless entry accident free buy and drive well duty...
Land Rover Range Rover Velar 2019 White,"_ 52,000,000",Foreign Used,Distress sale car in good condition
Honda Pilot EX 4x2 (3.5L 6cyl 5A) 2007 Silver,"_ 2,850,000",Local Used,"Nigeria used Honda pilot. 
Clean as seen."
Toyota Corolla 2010 White,"_ 6,900,000",Local Used,2010 Corolla in perfect condition
Toyota Highlander 2017 Matt Black,"_ 44,000,000",Foreign Used,Toyota Highlander 2017 model full option keyless limited edition with factory dashboard and leather...
Honda Pilot 2011 White,"_ 16,000,000",Foreign Used,"White on cream interior, no issues"
